Date, Open, High, Low, Close
05/20/22, 0.016393, 0.017264, 0.015504, 0.016129
05/19/22, 0.015595, 0.016380, 0.015355, 0.016097
05/18/22, 0.015296, 0.016129, 0.015165, 0.015444
05/17/22, 0.015748, 0.015842, 0.015136, 0.015296
05/16/22, 0.015038, 0.015860, 0.014981, 0.015474
05/13/22, 0.015444, 0.015970, 0.015038, 0.015038
05/12/22, 0.014981, 0.015686, 0.014760, 0.015444
05/11/22, 0.014311, 0.015152, 0.014311, 0.014981
05/10/22, 0.014286, 0.014706, 0.014109, 0.014260
05/09/22, 0.014493, 0.014925, 0.014155, 0.014286
05/06/22, 0.015385, 0.015426, 0.014493, 0.014493
05/05/22, 0.015123, 0.015607, 0.014609, 0.015385
05/04/22, 0.014652, 0.015522, 0.014604, 0.015123
05/03/22, 0.014149, 0.015173, 0.013937, 0.014652
05/02/22, 0.014015, 0.014301, 0.013633, 0.014149
04/29/22, 0.013746, 0.014414, 0.013614, 0.014015
04/28/22, 0.013559, 0.014085, 0.013305, 0.013746
04/27/22, 0.013223, 0.013884, 0.012966, 0.013559
04/26/22, 0.013329, 0.013860, 0.013166, 0.013223
04/25/22, 0.012924, 0.013705, 0.012384, 0.013329
04/22/22, 0.012365, 0.013293, 0.012324, 0.012924
04/21/22, 0.012158, 0.013328, 0.011866, 0.012365
04/20/22, 0.012384, 0.012786, 0.011799, 0.012158
04/19/22, 0.012327, 0.012653, 0.012202, 0.012384
04/18/22, 0.012384, 0.012598, 0.011834, 0.012327
04/15/22, 0.012103, 0.012461, 0.011976, 0.012384
04/14/22, 0.012121, 0.012289, 0.011958, 0.012103
04/13/22, 0.011713, 0.012516, 0.011713, 0.012121
04/12/22, 0.011976, 0.012596, 0.011603, 0.011713
04/11/22, 0.012461, 0.012618, 0.011696, 0.011976
04/08/22, 0.012618, 0.013113, 0.012255, 0.012461
04/07/22, 0.012121, 0.012945, 0.011905, 0.012539
04/06/22, 0.012121, 0.012121, 0.012121, 0.012121
04/05/22, 0.011905, 0.012039, 0.011609, 0.011869
04/04/22, 0.011905, 0.011905, 0.011905, 0.011905
04/01/22, 0.012232, 0.012346, 0.011204, 0.011662
03/31/22, 0.011976, 0.012422, 0.011869, 0.012232
03/30/22, 0.011429, 0.012121, 0.010989, 0.011976
03/29/22, 0.010526, 0.011976, 0.010204, 0.011429
03/28/22, 0.009615, 0.010638, 0.009615, 0.010526
03/25/22, 0.009780, 0.010243, 0.009615, 0.009615
03/24/22, 0.010336, 0.010430, 0.009662, 0.009780
03/23/22, 0.009430, 0.010526, 0.009346, 0.010336
03/22/22, 0.009376, 0.009709, 0.009112, 0.009430
03/21/22, 0.009390, 0.009891, 0.008658, 0.009376
03/18/22, 0.009732, 0.009913, 0.008889, 0.009390
03/17/22, 0.010204, 0.010363, 0.007570, 0.009732
03/16/22, 0.009390, 0.010417, 0.008545, 0.010101
03/15/22, 0.008197, 0.009615, 0.008126, 0.009390
03/14/22, 0.007463, 0.009079, 0.007463, 0.008197
03/11/22, 0.007491, 0.008840, 0.007380, 0.007463
03/10/22, 0.007273, 0.008618, 0.007143, 0.007491
03/09/22, 0.007843, 0.008643, 0.007181, 0.007326
03/08/22, 0.006993, 0.008264, 0.006993, 0.007843
03/07/22, 0.009390, 0.009390, 0.006317, 0.006993
03/04/22, 0.009132, 0.009978, 0.008403, 0.009390
03/03/22, 0.009732, 0.010256, 0.008425, 0.009091
03/02/22, 0.009215, 0.010194, 0.008423, 0.009723
03/01/22, 0.009259, 0.011186, 0.008439, 0.009134
02/28/22, 0.011924, 0.011924, 0.008772, 0.009258
02/25/22, 0.011854, 0.012235, 0.011639, 0.011924
02/24/22, 0.012281, 0.012296, 0.011127, 0.011852
02/23/22, 0.012686, 0.012730, 0.012240, 0.012284
02/22/22, 0.012686, 0.012686, 0.012686, 0.012686
02/21/22, 0.012914, 0.013127, 0.012460, 0.012461
02/18/22, 0.013128, 0.013220, 0.012905, 0.012928
02/17/22, 0.013317, 0.013321, 0.013040, 0.013113
02/16/22, 0.013253, 0.013361, 0.013237, 0.013305
02/15/22, 0.013072, 0.013312, 0.013023, 0.013253
02/14/22, 0.013022, 0.013125, 0.012792, 0.013071
02/11/22, 0.013330, 0.013365, 0.012888, 0.013022
02/10/22, 0.013365, 0.013464, 0.013310, 0.013330
02/09/22, 0.013326, 0.013424, 0.013302, 0.013368
02/08/22, 0.013262, 0.013335, 0.013219, 0.013327
02/07/22, 0.013203, 0.013266, 0.013134, 0.013262
02/04/22, 0.013123, 0.013218, 0.013067, 0.013203
02/03/22, 0.013121, 0.013162, 0.013017, 0.013113
02/02/22, 0.013006, 0.013212, 0.013003, 0.013121
02/01/22, 0.012933, 0.013089, 0.012864, 0.013006
01/31/22, 0.012789, 0.012964, 0.012789, 0.012933
01/28/22, 0.012824, 0.012922, 0.012766, 0.012789
01/27/22, 0.012634, 0.012920, 0.012542, 0.012827
01/26/22, 0.012706, 0.012734, 0.012449, 0.012634
01/25/22, 0.012673, 0.012770, 0.012605, 0.012706
01/24/22, 0.012924, 0.012989, 0.012580, 0.012688
01/21/22, 0.013127, 0.013136, 0.012857, 0.012888
01/20/22, 0.013131, 0.013159, 0.013010, 0.013127
01/19/22, 0.012981, 0.013183, 0.012962, 0.013131
01/18/22, 0.012981, 0.012981, 0.012981, 0.012981
01/17/22, 0.013117, 0.013211, 0.013022, 0.013101
01/14/22, 0.013074, 0.013226, 0.012992, 0.013117
01/13/22, 0.013402, 0.013429, 0.013052, 0.013075
01/12/22, 0.013439, 0.013457, 0.013351, 0.013408
01/11/22, 0.013332, 0.013460, 0.013306, 0.013436
01/10/22, 0.013332, 0.013332, 0.013332, 0.013332
01/07/22, 0.013104, 0.013317, 0.013069, 0.013206
01/06/22, 0.013024, 0.013157, 0.012930, 0.013104
01/05/22, 0.013309, 0.013324, 0.013006, 0.013024
01/04/22, 0.013424, 0.013442, 0.013231, 0.013291
01/03/22, 0.013370, 0.013481, 0.013231, 0.013410
